,YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Race,Age,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder
2777,2010,WI,Wisconsin,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,17.7,,,1.4,14.9,20.5,1716.0,Overall,All Races,All Ages,High School,"(44.39319117400049, -89.81637074199966)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
2778,2010,WI,Wisconsin,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,4.2,,,1.0,2.2,6.2,948.0,Male,All Races,All Ages,Middle School,"(44.39319117400049, -89.81637074199966)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
2779,2010,WI,Wisconsin,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,17.2,,,1.6,14.0,20.4,832.0,Male,All Races,All Ages,High School,"(44.39319117400049, -89.81637074199966)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
2780,2010,WI,Wisconsin,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,17.9,,,1.8,14.3,21.5,883.0,Female,All Races,All Ages,High School,"(44.39319117400049, -89.81637074199966)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
2781,2010,WI,Wisconsin,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,3.6,,,0.7,2.2,5.0,916.0,Female,All Races,All Ages,Middle School,"(44.39319117400049, -89.81637074199966)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
2818,2009,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,4.6,,,0.9,2.9,6.3,2326.0,Overall,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
2819,2009,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,5.2,,,1.2,2.8,7.6,1173.0,Male,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
2820,2009,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,4.0,,,0.8,2.5,5.5,1132.0,Female,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
2848,2009,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,3.3,,,0.4,2.6,4.0,2348.0,Overall,All Races,All Ages,Middle School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
2849,2009,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,15.3,,,1.3,12.7,17.9,2204.0,Overall,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
2850,2009,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,16.0,,,1.5,13.0,19.0,1047.0,Male,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
2851,2009,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,3.3,,,0.5,2.3,4.3,1153.0,Male,All Races,All Ages,Middle School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
2852,2009,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,14.4,,,1.4,11.6,17.2,1144.0,Female,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
2853,2009,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,3.2,,,0.6,2.0,4.4,1187.0,Female,All Races,All Ages,Middle School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
2896,2009,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,6.1,,,0.7,4.7,7.5,1950.0,Overall,All Races,All Ages,Middle School,"(32.83968109300048, -83.62758034599966)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
2897,2009,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,15.4,,,1.7,12.1,18.7,1904.0,Overall,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
2898,2009,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,7.8,,,1.0,5.8,9.8,923.0,Male,All Races,All Ages,Middle School,"(32.83968109300048, -83.62758034599966)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
2899,2009,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,17.2,,,2.1,13.1,21.3,905.0,Male,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
2900,2009,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,4.4,,,0.7,3.0,5.8,1024.0,Female,All Races,All Ages,Middle School,"(32.83968109300048, -83.62758034599966)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
2901,2009,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,13.6,,,2.0,9.6,17.6,995.0,Female,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
2938,2009,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,4.5,,,0.7,3.2,5.8,1582.0,Overall,All Races,All Ages,Middle School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
2939,2009,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,11.3,,,1.3,8.8,13.8,1443.0,Overall,All Races,All Ages,High School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
2940,2009,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,10.5,,,1.2,8.2,12.8,667.0,Male,All Races,All Ages,High School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
2941,2009,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,3.6,,,0.8,2.0,5.2,724.0,Male,All Races,All Ages,Middle School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
2942,2009,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,5.4,,,1.0,3.4,7.4,851.0,Female,All Races,All Ages,Middle School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
2943,2009,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,11.9,,,1.8,8.3,15.5,767.0,Female,All Races,All Ages,High School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
2980,2009,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,2.8,,,0.8,1.3,4.3,1307.0,Overall,All Races,All Ages,Middle School,"(42.46940091300047, -93.81649055599968)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
2981,2009,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,19.9,,,2.4,15.1,24.7,1245.0,Overall,All Races,All Ages,High School,"(42.46940091300047, -93.81649055599968)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
2982,2009,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,3.3,,,0.9,1.6,5.0,670.0,Male,All Races,All Ages,Middle School,"(42.46940091300047, -93.81649055599968)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
2983,2009,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,20.2,,,3.3,13.7,26.7,612.0,Male,All Races,All Ages,High School,"(42.46940091300047, -93.81649055599968)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
2984,2009,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,2.4,,,0.9,0.7,4.1,633.0,Female,All Races,All Ages,Middle School,"(42.46940091300047, -93.81649055599968)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
2985,2009,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,19.5,,,2.4,14.8,24.2,630.0,Female,All Races,All Ages,High School,"(42.46940091300047, -93.81649055599968)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
3028,2009,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,17.1,,,1.5,14.2,20.0,1351.0,Overall,All Races,All Ages,High School,"(38.34774030000045, -98.20078122699965)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
3029,2009,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,4.3,,,0.9,2.5,6.1,966.0,Overall,All Races,All Ages,Middle School,"(38.34774030000045, -98.20078122699965)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
3030,2009,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,5.6,,,1.6,2.5,8.7,436.0,Male,All Races,All Ages,Middle School,"(38.34774030000045, -98.20078122699965)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
3031,2009,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,16.5,,,1.8,13.0,20.0,669.0,Male,All Races,All Ages,High School,"(38.34774030000045, -98.20078122699965)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
3032,2009,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,17.9,,,2.0,14.0,21.8,670.0,Female,All Races,All Ages,High School,"(38.34774030000045, -98.20078122699965)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
3033,2009,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,3.0,,,0.7,1.6,4.4,516.0,Female,All Races,All Ages,Middle School,"(38.34774030000045, -98.20078122699965)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
3076,2009,LA,Louisiana,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,10.9,,,1.3,8.4,13.4,1648.0,Overall,All Races,All Ages,Middle School,"(31.31266064400046, -92.44568007099969)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
3077,2009,LA,Louisiana,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,19.4,,,2.5,14.5,24.3,1027.0,Overall,All Races,All Ages,High School,"(31.31266064400046, -92.44568007099969)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
3078,2009,LA,Louisiana,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,11.3,,,1.6,8.1,14.5,753.0,Male,All Races,All Ages,Middle School,"(31.31266064400046, -92.44568007099969)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
3079,2009,LA,Louisiana,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,16.9,,,2.0,13.0,20.8,487.0,Male,All Races,All Ages,High School,"(31.31266064400046, -92.44568007099969)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
3080,2009,LA,Louisiana,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,21.9,,,3.9,14.3,29.5,536.0,Female,All Races,All Ages,High School,"(31.31266064400046, -92.44568007099969)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
3081,2009,LA,Louisiana,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,10.1,,,1.4,7.4,12.8,879.0,Female,All Races,All Ages,Middle School,"(31.31266064400046, -92.44568007099969)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
3124,2009,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,7.2,,,0.9,5.5,8.9,1597.0,Overall,All Races,All Ages,Middle School,"(32.745510099000455, -89.53803082499968)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
3125,2009,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,18.8,,,1.1,16.6,21.0,1662.0,Overall,All Races,All Ages,High School,"(32.745510099000455, -89.53803082499968)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
3126,2009,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,8.0,,,1.3,5.5,10.5,804.0,Male,All Races,All Ages,Middle School,"(32.745510099000455, -89.53803082499968)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
3127,2009,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,22.2,,,1.6,19.1,25.3,794.0,Male,All Races,All Ages,High School,"(32.745510099000455, -89.53803082499968)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
3128,2009,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,15.6,,,1.5,12.6,18.6,862.0,Female,All Races,All Ages,High School,"(32.745510099000455, -89.53803082499968)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
3129,2009,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,6.2,,,0.9,4.4,8.0,790.0,Female,All Races,All Ages,Middle School,"(32.745510099000455, -89.53803082499968)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
3166,2009,MO,Missouri,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,19.4,,,2.0,15.4,23.4,1494.0,Overall,All Races,All Ages,High School,"(38.635790776000476, -92.56630005299968)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
3167,2009,MO,Missouri,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,5.7,,,0.9,4.0,7.4,1605.0,Overall,All Races,All Ages,Middle School,"(38.635790776000476, -92.56630005299968)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
3168,2009,MO,Missouri,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,5.7,,,0.9,3.9,7.5,816.0,Male,All Races,All Ages,Middle School,"(38.635790776000476, -92.56630005299968)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
3169,2009,MO,Missouri,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,19.4,,,2.9,13.7,25.1,748.0,Male,All Races,All Ages,High School,"(38.635790776000476, -92.56630005299968)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
3170,2009,MO,Missouri,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,5.5,,,1.2,3.2,7.8,780.0,Female,All Races,All Ages,Middle School,"(38.635790776000476, -92.56630005299968)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
3171,2009,MO,Missouri,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,19.5,,,1.9,15.7,23.3,738.0,Female,All Races,All Ages,High School,"(38.635790776000476, -92.56630005299968)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
3207,2009,NH,New Hampshire,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,16.0,,,1.3,13.5,18.5,1470.0,Overall,All Races,All Ages,High School,"(43.65595011300047, -71.50036091999965)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
3208,2009,NH,New Hampshire,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,16.5,,,1.7,13.1,19.9,694.0,Male,All Races,All Ages,High School,"(43.65595011300047, -71.50036091999965)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
3209,2009,NH,New Hampshire,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,15.8,,,1.4,13.0,18.6,767.0,Female,All Races,All Ages,High School,"(43.65595011300047, -71.50036091999965)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
3237,2009,NC,North Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,16.7,,,1.4,14.0,19.4,3213.0,Overall,All Races,All Ages,High School,"(35.466220975000454, -79.15925046299964)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
3238,2009,NC,North Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,4.3,,,0.6,3.2,5.4,3720.0,Overall,All Races,All Ages,Middle School,"(35.466220975000454, -79.15925046299964)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
3239,2009,NC,North Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,4.3,,,0.8,2.7,5.9,1801.0,Male,All Races,All Ages,Middle School,"(35.466220975000454, -79.15925046299964)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
3240,2009,NC,North Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,19.2,,,1.9,15.4,23.0,1531.0,Male,All Races,All Ages,High School,"(35.466220975000454, -79.15925046299964)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
3241,2009,NC,North Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,4.1,,,0.6,2.9,5.3,1909.0,Female,All Races,All Ages,Middle School,"(35.466220975000454, -79.15925046299964)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
3242,2009,NC,North Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,13.7,,,1.5,10.8,16.6,1665.0,Female,All Races,All Ages,High School,"(35.466220975000454, -79.15925046299964)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
3285,2009,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,6.2,,,0.9,4.5,7.9,1980.0,Overall,All Races,All Ages,Middle School,"(47.47531977900047, -100.11842104899966)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
3286,2009,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,22.9,,,1.4,20.2,25.6,1939.0,Overall,All Races,All Ages,High School,"(47.47531977900047, -100.11842104899966)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
3287,2009,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,23.4,,,1.7,20.0,26.8,971.0,Male,All Races,All Ages,High School,"(47.47531977900047, -100.11842104899966)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
3288,2009,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,4.8,,,0.9,3.0,6.6,945.0,Male,All Races,All Ages,Middle School,"(47.47531977900047, -100.11842104899966)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
3289,2009,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,22.3,,,1.6,19.2,25.4,950.0,Female,All Races,All Ages,High School,"(47.47531977900047, -100.11842104899966)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
3290,2009,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,7.7,,,1.2,5.3,10.1,1016.0,Female,All Races,All Ages,Middle School,"(47.47531977900047, -100.11842104899966)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
3327,2009,OK,Oklahoma,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,6.5,,,1.1,4.4,8.6,2109.0,Overall,All Races,All Ages,Middle School,"(35.47203135600046, -97.52107021399968)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
3328,2009,OK,Oklahoma,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,20.2,,,1.1,18.0,22.4,1741.0,Overall,All Races,All Ages,High School,"(35.47203135600046, -97.52107021399968)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
3329,2009,OK,Oklahoma,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,21.4,,,2.0,17.4,25.4,868.0,Male,All Races,All Ages,High School,"(35.47203135600046, -97.52107021399968)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
3330,2009,OK,Oklahoma,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,7.0,,,1.1,4.8,9.2,1071.0,Male,All Races,All Ages,Middle School,"(35.47203135600046, -97.52107021399968)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
3331,2009,OK,Oklahoma,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,18.9,,,1.4,16.2,21.6,864.0,Female,All Races,All Ages,High School,"(35.47203135600046, -97.52107021399968)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
3332,2009,OK,Oklahoma,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,6.0,,,1.4,3.3,8.7,1028.0,Female,All Races,All Ages,Middle School,"(35.47203135600046, -97.52107021399968)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
3369,2009,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,21.8,,,1.6,18.6,25.0,1071.0,Overall,All Races,All Ages,High School,"(33.998821303000454, -81.04537120699968)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
3370,2009,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,8.4,,,0.9,6.6,10.2,1305.0,Overall,All Races,All Ages,Middle School,"(33.998821303000454, -81.04537120699968)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
3371,2009,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,25.0,,,2.6,19.9,30.1,510.0,Male,All Races,All Ages,High School,"(33.998821303000454, -81.04537120699968)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
3372,2009,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,9.1,,,1.3,6.6,11.6,659.0,Male,All Races,All Ages,Middle School,"(33.998821303000454, -81.04537120699968)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
3373,2009,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,7.7,,,1.0,5.8,9.6,645.0,Female,All Races,All Ages,Middle School,"(33.998821303000454, -81.04537120699968)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
3374,2009,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,18.4,,,1.3,15.9,20.9,558.0,Female,All Races,All Ages,High School,"(33.998821303000454, -81.04537120699968)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
3411,2009,SD,South Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,6.1,,,1.2,3.8,8.4,3294.0,Overall,All Races,All Ages,Middle School,"(44.353130053000484, -100.3735306369997)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
3412,2009,SD,South Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,6.2,,,1.1,4.1,8.3,1667.0,Male,All Races,All Ages,Middle School,"(44.353130053000484, -100.3735306369997)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
